Test Dataset Used,fs,fd,ms,md
KinFaceW-I,0.7443,0.6567,0.6634,0.6896
KinFaceW-II,0.838,0.778,0.832,0.78
TSKinFace,0.7112,0.6713,0.6748,0.7001

