Test Dataset Used,fs,fd,ms,md
KinFaceW-I,0.7344,0.6232,0.6844,0.7284
KinFaceW-II,0.848,0.768,0.802,0.814
TSKinFace,0.7073,0.6783,0.6886,0.6882

