Test Dataset Used,fs,fd,ms,md
KinFaceW-I,0.7661,0.6573,0.6806,0.6696
KinFaceW-II,0.692,0.604,0.66,0.66
TSKinFace,0.8409,0.8203,0.8242,0.8362

