Test Dataset Used,fs,fd,ms,md
KinFaceW-I,0.8015,0.7167,0.7629,0.7921
KinFaceW-II,0.71,0.622,0.684,0.664
TSKinFace,0.726,0.6822,0.6935,0.6922

